<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150130;180000;70.4406000
USDRUB;60;20150130;190000;70.6246000
USDRUB;60;20150130;200000;70.3231000
USDRUB;60;20150130;210000;70.0718000
USDRUB;60;20150130;220000;70.2876000
USDRUB;60;20150130;230000;70.1721000
USDRUB;60;20150131;000000;69.9491000
USDRUB;60;20150131;010000;69.9866000
USDRUB;60;20150131;020000;69.0741000
USDRUB;60;20150131;030000;68.7099000
USDRUB;60;20150131;040000;68.2435000
USDRUB;60;20150131;050000;69.9877000
USDRUB;60;20150131;060000;69.9877000
USDRUB;60;20150202;040000;69.9416000
USDRUB;60;20150202;050000;69.1020000
USDRUB;60;20150202;070000;69.0345000
USDRUB;60;20150202;080000;68.9843000
USDRUB;60;20150202;090000;68.9852000
USDRUB;60;20150202;100000;69.4494000
USDRUB;60;20150202;110000;69.4400000
USDRUB;60;20150202;120000;68.9847000
USDRUB;60;20150202;130000;69.0434000
USDRUB;60;20150202;140000;69.9255000
USDRUB;60;20150202;150000;70.1706000
USDRUB;60;20150202;160000;70.1447000
USDRUB;60;20150202;170000;69.5205000
USDRUB;60;20150202;180000;68.8137000
USDRUB;60;20150202;190000;69.0785000
USDRUB;60;20150202;200000;68.9789000
USDRUB;60;20150202;210000;68.4579000
USDRUB;60;20150202;220000;68.6554000
USDRUB;60;20150202;230000;68.4378000
USDRUB;60;20150203;000000;68.3052000
USDRUB;60;20150203;010000;68.3041000
USDRUB;60;20150203;020000;68.2691000
USDRUB;60;20150203;030000;68.1241000
USDRUB;60;20150203;040000;67.9116000
USDRUB;60;20150203;050000;68.0157000
USDRUB;60;20150203;060000;68.0688000
USDRUB;60;20150203;070000;68.0675000
USDRUB;60;20150203;080000;68.3636000
USDRUB;60;20150203;090000;68.3675000
USDRUB;60;20150203;100000;68.2741000
USDRUB;60;20150203;110000;68.1557000
USDRUB;60;20150203;120000;67.4474000
USDRUB;60;20150203;130000;67.4108000
USDRUB;60;20150203;140000;67.6628000
USDRUB;60;20150203;150000;67.1323000
USDRUB;60;20150203;160000;66.5974000
USDRUB;60;20150203;170000;66.7669000
USDRUB;60;20150203;180000;66.5042000
USDRUB;60;20150203;190000;66.7181000
USDRUB;60;20150203;200000;65.9287000
USDRUB;60;20150203;210000;66.1752000
USDRUB;60;20150203;220000;66.3005000
USDRUB;60;20150203;230000;66.1441000
USDRUB;60;20150204;000000;65.9491000
USDRUB;60;20150204;010000;65.0441000
USDRUB;60;20150204;020000;65.1661000
USDRUB;60;20150204;030000;64.4940000
USDRUB;60;20150204;040000;64.5226000
USDRUB;60;20150204;050000;64.3361000
USDRUB;60;20150204;060000;64.3895000
USDRUB;60;20150204;070000;64.3889000
USDRUB;60;20150204;080000;64.3886000
USDRUB;60;20150204;090000;64.3910000
USDRUB;60;20150204;100000;64.3973000
USDRUB;60;20150204;110000;64.3972000
USDRUB;60;20150204;120000;64.6514000
USDRUB;60;20150204;130000;64.7675000
USDRUB;60;20150204;140000;65.6259000
USDRUB;60;20150204;150000;66.0411000
USDRUB;60;20150204;160000;65.7005000
USDRUB;60;20150204;170000;66.1481000
USDRUB;60;20150204;180000;65.9291000
USDRUB;60;20150204;190000;66.0216000
USDRUB;60;20150204;200000;66.8760000
USDRUB;60;20150204;210000;67.0061000
USDRUB;60;20150204;220000;67.6960000
USDRUB;60;20150204;230000;67.3221000
USDRUB;60;20150205;000000;67.7417000
USDRUB;60;20150205;010000;68.1114000
USDRUB;60;20150205;020000;68.1841000
USDRUB;60;20150205;030000;67.6082000
USDRUB;60;20150205;040000;66.6351000
USDRUB;60;20150205;050000;67.2125000
USDRUB;60;20150205;060000;67.1912000
USDRUB;60;20150205;070000;67.1911000
USDRUB;60;20150205;080000;67.1910000
USDRUB;60;20150205;090000;67.1906000
USDRUB;60;20150205;100000;67.7960000
USDRUB;60;20150205;110000;67.4364000
USDRUB;60;20150205;120000;67.4353000
USDRUB;60;20150205;130000;68.4444000
USDRUB;60;20150205;140000;68.6267000
USDRUB;60;20150205;150000;68.3511000
USDRUB;60;20150205;160000;67.3598000
USDRUB;60;20150205;170000;66.2833000
USDRUB;60;20150205;180000;67.1202000
USDRUB;60;20150205;190000;66.5640000
USDRUB;60;20150205;200000;66.3478000
USDRUB;60;20150205;210000;66.4779000
USDRUB;60;20150205;220000;66.7956000
USDRUB;60;20150205;230000;66.5613000
USDRUB;60;20150206;000000;66.4461000
USDRUB;60;20150206;010000;66.6032000
USDRUB;60;20150206;020000;66.2701000
USDRUB;60;20150206;030000;66.1781000
USDRUB;60;20150206;040000;66.3208000
USDRUB;60;20150206;050000;66.4349000
USDRUB;60;20150206;060000;66.4895000
USDRUB;60;20150206;070000;66.5379000
USDRUB;60;20150206;080000;66.5393000
USDRUB;60;20150206;090000;66.5377000
USDRUB;60;20150206;100000;66.2823000
USDRUB;60;20150206;110000;66.2809000
USDRUB;60;20150206;120000;65.2676000
USDRUB;60;20150206;130000;65.5430000
USDRUB;60;20150206;140000;65.9033000
USDRUB;60;20150206;150000;65.6168000
USDRUB;60;20150206;160000;66.0622000
USDRUB;60;20150206;170000;66.1704000
USDRUB;60;20150206;180000;66.7685000
USDRUB;60;20150206;190000;67.1795000
USDRUB;60;20150206;200000;66.8246000
USDRUB;60;20150206;210000;66.9905000
USDRUB;60;20150206;220000;66.9664000
USDRUB;60;20150206;230000;67.0209000
USDRUB;60;20150207;000000;66.7673000
USDRUB;60;20150207;010000;67.1789000
USDRUB;60;20150207;020000;67.0026000
USDRUB;60;20150207;030000;66.0246000
